1892996392061,1893959510612,2029-12-26 16:19:52.061,2030-01-06 19:51:50.612,0,1000,600,0.95,pattern,custom,20 Seconds,192:45:75;193:-75:-45;193:45:75;193:-75:-45
2016834301387,2018287818473,2033-11-28 23:45:01.387,2033-12-15 19:30:18.473,0,1000,600,0.95,pattern,custom,30 Seconds,130:45:75;128:-75:-45;128:45:75;128:-75:-45
1763750590439,1768875108948,2025-11-21 18:43:10.439,2026-01-20 02:11:48.948,0,1000,600,0.95,pattern,custom,2 Minutes,65:45:75;64:-75:-45;64:45:75;64:-75:-45
1936532326457,1938900721921,2031-05-14 13:38:46.457,2031-06-10 23:32:01.921,0,1000,600,0.95,pattern,custom,1 Minutes,65:45:75;64:-75:-45;64:45:75;64:-75:-45
1829767584637,1853952504565,2027-12-25 20:46:24.637,2028-09-30 18:48:24.565,0,1000,600,0.95,pattern,custom,10 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1989764244203,1991923516375,2033-01-19 16:17:24.203,2033-02-13 16:05:16.375,0,1000,600,0.95,pattern,custom,1 Minutes,65:45:75;64:-75:-45;64:45:75;64:-75:-45
1991630127081,1992181713636,2033-02-10 06:35:27.081,2033-02-16 15:48:33.636,0,1000,600,0.95,pattern,custom,12 Seconds,644:45:75;642:-75:-45;642:45:75;642:-75:-45
1799509523755,1800182385485,2027-01-09 15:45:23.755,2027-01-17 10:39:45.485,0,1000,600,0.95,pattern,custom,15 Seconds,257:45:75;257:-75:-45;257:45:75;257:-75:-45
1841200035017,1843868039063,2028-05-06 04:27:15.017,2028-06-06 01:33:59.063,0,1000,600,0.95,pattern,custom,1 Minutes,65:45:75;64:-75:-45;64:45:75;64:-75:-45
1823644334009,1827894619175,2027-10-15 23:52:14.009,2027-12-04 04:30:19.175,0,1000,600,0.95,pattern,custom,2 Minutes,65:45:75;64:-75:-45;64:45:75;64:-75:-45
1817768580365,1818818423660,2027-08-08 23:43:00.365,2027-08-21 03:20:23.660,0,1000,600,0.95,pattern,custom,30 Seconds,257:45:75;257:-75:-45;257:45:75;257:-75:-45
1843626088089,1859829863636,2028-06-03 06:21:28.089,2028-12-07 19:24:23.636,0,1000,600,0.95,pattern,custom,6 Minutes,84:45:75;86:-75:-45;86:45:75;86:-75:-45
1985031621076,1986936653756,2032-11-25 21:40:21.076,2032-12-17 22:50:53.756,0,1000,600,0.95,pattern,custom,1 Minutes,65:45:75;64:-75:-45;64:45:75;64:-75:-45
1912763924549,1924055324254,2030-08-12 11:18:44.549,2030-12-21 03:48:44.254,0,1000,600,0.95,pattern,custom,5 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1732064981834,1733676991056,2024-11-20 01:09:41.834,2024-12-08 16:56:31.056,0,1000,600,0.95,pattern,custom,1 Minutes,65:45:75;64:-75:-45;64:45:75;64:-75:-45
1886475195315,1889317494007,2029-10-12 04:53:15.315,2029-11-14 02:24:54.007,0,1000,600,0.95,pattern,custom,1 Minutes,65:45:75;64:-75:-45;64:45:75;64:-75:-45
1756254784984,1770116977610,2025-08-27 00:33:04.984,2026-02-03 11:09:37.610,0,1000,600,0.95,pattern,custom,5 Minutes,821:45:75;822:-75:-45;822:45:75;822:-75:-45
1729210323159,1733211228790,2024-10-18 00:12:03.159,2024-12-03 07:33:48.790,0,1000,600,0.95,pattern,custom,2 Minutes,129:45:75;128:-75:-45;128:45:75;128:-75:-45
1986144900824,1989090200353,2032-12-08 18:55:00.824,2033-01-11 21:03:20.353,0,1000,600,0.95,pattern,custom,1 Minutes,130:45:75;128:-75:-45;128:45:75;128:-75:-45
