1892996459061,1893959467612,2029-12-26 16:20:59.061,2030-01-06 19:51:07.612,0,1000,600,0.95,pattern,custom,20 Seconds,194:45:75;192:-75:-45;192:45:75;192:-75:-45
1799509497755,1800182249485,2027-01-09 15:44:57.755,2027-01-17 10:37:29.485,0,1000,600,0.95,pattern,custom,15 Seconds,256:45:75;257:-75:-45;257:45:75;257:-75:-45
1841200101017,1843867995063,2028-05-06 04:28:21.017,2028-06-06 01:33:15.063,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1823644363009,1827894428175,2027-10-15 23:52:43.009,2027-12-04 04:27:08.175,0,1000,600,0.95,pattern,custom,2 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1817768631365,1818818254660,2027-08-08 23:43:51.365,2027-08-21 03:17:34.660,0,1000,600,0.95,pattern,custom,30 Seconds,256:45:75;257:-75:-45;257:45:75;257:-75:-45
1843626128089,1859829623636,2028-06-03 06:22:08.089,2028-12-07 19:20:23.636,0,1000,600,0.95,pattern,custom,6 Minutes,84:45:75;86:-75:-45;86:45:75;86:-75:-45
1985031671076,1986936593756,2032-11-25 21:41:11.076,2032-12-17 22:49:53.756,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1912763985549,1924055545254,2030-08-12 11:19:45.549,2030-12-21 03:52:25.254,0,1000,600,0.95,pattern,custom,5 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1732064990834,1733676890056,2024-11-20 01:09:50.834,2024-12-08 16:54:50.056,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1886475224315,1889317413007,2029-10-12 04:53:44.315,2029-11-14 02:23:33.007,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1756254820984,1770117163610,2025-08-27 00:33:40.984,2026-02-03 11:12:43.610,0,1000,600,0.95,pattern,custom,5 Minutes,821:45:75;822:-75:-45;822:45:75;822:-75:-45
1729210385159,1733211450790,2024-10-18 00:13:05.159,2024-12-03 07:37:30.790,0,1000,600,0.95,pattern,custom,2 Minutes,129:45:75;128:-75:-45;128:45:75;128:-75:-45
1986144957824,1989090037353,2032-12-08 18:55:57.824,2033-01-11 21:00:37.353,0,1000,600,0.95,pattern,custom,1 Minutes,129:45:75;128:-75:-45;128:45:75;128:-75:-45
