1892996452061,1893959470612,2029-12-26 16:20:52.061,2030-01-06 19:51:10.612,0,1000,600,0.95,pattern,custom,20 Seconds,194:45:75;192:-75:-45;192:45:75;192:-75:-45
1991630192081,1992181578636,2033-02-10 06:36:32.081,2033-02-16 15:46:18.636,0,1000,600,0.95,pattern,custom,12 Seconds,642:45:75;642:-75:-45;642:45:75;642:-75:-45
1799509498755,1800182260485,2027-01-09 15:44:58.755,2027-01-17 10:37:40.485,0,1000,600,0.95,pattern,custom,15 Seconds,256:45:75;257:-75:-45;257:45:75;257:-75:-45
1841200100017,1843868004063,2028-05-06 04:28:20.017,2028-06-06 01:33:24.063,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1823644359009,1827894444175,2027-10-15 23:52:39.009,2027-12-04 04:27:24.175,0,1000,600,0.95,pattern,custom,2 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1817768625365,1818818268660,2027-08-08 23:43:45.365,2027-08-21 03:17:48.660,0,1000,600,0.95,pattern,custom,30 Seconds,256:45:75;257:-75:-45;257:45:75;257:-75:-45
1843626128089,1859829603636,2028-06-03 06:22:08.089,2028-12-07 19:20:03.636,0,1000,600,0.95,pattern,custom,6 Minutes,84:45:75;86:-75:-45;86:45:75;86:-75:-45
1985031666076,1986936598756,2032-11-25 21:41:06.076,2032-12-17 22:49:58.756,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1912763984549,1924055534254,2030-08-12 11:19:44.549,2030-12-21 03:52:14.254,0,1000,600,0.95,pattern,custom,5 Minutes,52:45:75;51:-75:-45;51:45:75;51:-75:-45
1732064986834,1733676896056,2024-11-20 01:09:46.834,2024-12-08 16:54:56.056,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1886475225315,1889317424007,2029-10-12 04:53:45.315,2029-11-14 02:23:44.007,0,1000,600,0.95,pattern,custom,1 Minutes,64:45:75;64:-75:-45;64:45:75;64:-75:-45
1756254819984,1770117162610,2025-08-27 00:33:39.984,2026-02-03 11:12:42.610,0,1000,600,0.95,pattern,custom,5 Minutes,821:45:75;822:-75:-45;822:45:75;822:-75:-45
1729210383159,1733211438790,2024-10-18 00:13:03.159,2024-12-03 07:37:18.790,0,1000,600,0.95,pattern,custom,2 Minutes,129:45:75;128:-75:-45;128:45:75;128:-75:-45
1986144950824,1989090050353,2032-12-08 18:55:50.824,2033-01-11 21:00:50.353,0,1000,600,0.95,pattern,custom,1 Minutes,129:45:75;128:-75:-45;128:45:75;128:-75:-45
